following_count,follower_count,answer_count,voteup_count,thanked_count
2765,721591,19315,2146948,237964
36,20,37,37,8
18,,,,
29,,7,12,
19,1,1,,
56,1,11,1,6
8,,,,
13,,,,
6,1,1,,
23,10,80,243,15
3,,,,
154,2,1,,
10,1,1,7,1
14,2,,,
24,,,,
9,,8,3,
1,,,,
112,9,14,14,5
418,34,44,96,15
3,529,31,5704,470
528,162,29,37,8
28,1730,3,9231,679
13,461,13,861,59
12,355,6,2348,286
9,1278,7,3224,359
,731,2,203,31
9,,,,
108,124,2,143,14
36,1238,46,3645,575
62,,,,
9,,,,
2,,,,
40,5,,,
,853,4,1055,129
13,10,82,26,13
23,3,6,6,1
110,14198,243,137236,18688
285,246334,322,279526,56626
10,1870,6,17055,3092
89,6127,66,8231,1672
55,189253,275,245718,39734
23,164,13,75,31
586,62532,80,155716,36064
166,6,13,26,4
212,27,,13,
132,16173,32,21916,12391
78,196591,419,325918,43593
28,484505,202,575006,27549
281,9,4,11,
146,1,,,
2146,870651,338,51120,11741
,240,3,118,45
341,694,563,4012,1115
19,1180,10,1000,221
352,357,223,781,184
48,,,,
2259,22826,2520,111716,18608
11,,,,
,790,27,633,71
142,65,58,784,139
9,,,,
176,4,13,,
207,48545,85,7866,2856
2,,1,,
20,,,,
19,24,1,1,
82,2932,11,4329,1121
149,49137,723,95220,21838
129,3,10,,
39,1,,,
61,27262,46,71696,7237
130,,,,
6,,,,
182,2,,,
45,2,,,
13,,1,2,
6,5,1,,
138,94673,150,330424,14344
356,201076,499,434161,48123
53,4,1,,
4856,355,34,79,14
36,9,5,892,99
4962,54,,,
229,234308,423,23649,6360
54,8,,,
10,1,,,
235,17,6,4,1
2,,,,
2017,1818,236,38370,8389
268,24232,683,61441,12356
4567,329,257,761,95
3625,48,4,,
507,9,1,,
394,2,3,1,
595,95040,68,7053,1818
99,41,132,291,109
37,9,47,215,28
49,1,,,
68,16138,33,12453,576
454,31,107,307,44
9,1,,,
9,3,1,,1
4614,139,54,146,19
70,94,19,200,68
108,,,,
41,6,1,,
51,2,,,
3826,358,15,75,16
376,11,,,
259,44309,420,166150,26297
244,4,,,
337,155248,232,52007,19504
57,6929,1,16,
82,98,28,182,38
14,,,,
8,,,,
14,15,12,81,23
2,1,,,
10,2,,,
6,1,,,
38,,,,
1147,197,46,151,32
5,5,4,24,
104,38,25,1056,119
82,1482,6,7016,2001
535,307,259,4641,866
3,4,,,
2,,1,3,
2,1,,,
4964,57,,,
6,1,,,
135,1,,,
96,1,1,,
15,128,31,6797,1056
4,,,,
11,,,,
21,9,,,
183,39,12,225,46
7,1,13,9,1
6,2,,,
10,8,2,2,
66,19,4,1,3
3,3,,,
541,197,96,3207,486
205,30,60,159,25
512,68832,349,103628,26005
156,337440,845,823571,80139
10,296,1,91,19
419,33305,584,35017,7223
5,273,6,11,7
45,,,,
623,121,36,74,13
214,22,1,,
311,428312,1283,232652,38441
185,311976,100,1935,822
1605,48,,,
18,2,,,
542,582,100,158,31
55,,,,
8,,,,
267,,,,
20,12,,,
4961,62,,,
,3,,,
63,7,4,8,3
125,2,,,
185,7,2,3,
3,1,,,
50,2,1,,
7,,,,
4959,55,,,
42,1,,,
4979,59,,,
107,167,36,965,104
69,93,8,1624,509
4869,97,,,
36,3,11,49,2
115,14,11,48,15
165,44645,644,146845,26143
12,2,,,
859,25,68,28,4
